word,pronunciation,meaning
pointer,/ˈpɔɪntə/,"명 (pointing stick) 포인터, 가리키는 사람 (물건), 지시봉 
명 (computing: cursor) (컴퓨터) 커서 
명 (hunting dog) 포인터; 사냥개 
명 (tip, piece of advice) (시계, 저울 등 기기의) 시침, 바늘침 "
dissipate,/ˈdɪsɪˌpeɪt/,"동(자) (disappear, disperse) 사라지다, 없어지다 
동(타) (dispel) 쫓아내다, 쫓아버리다 
동(타) (disperse, spread) 흩뜨리다, 흩어지게 하다 
동(타) (make disappear) 사라지게 하다, 없어지게 하다 "
pigment,/ˈpɪɡmənt/,"명 (substance: paint, ink) 물감, 도료, 안료 
명 (colour, colouration) 염색, 착색 "
dilute,/daɪˈluːt/,"동(타) (make more watery) 희석시키다, 묽게 하다 
동(타) figurative (make less effective) (비유적) 효력을 약하게 하다 
형 (watery, weak) 희석한, 묽게한 "
wit,/wɪt/,"명 (clever humour) 유머, 재치, 기지가 보이는 농담 
명(복) (ability to perceive) 이해력, 인지력, 지력 "
irony,/ˈaɪrənɪ/,"명 (situation: incongruity) 모순, 부조화 
명 (words: sarcasm) 빈정댐, 풍자 "
satire,/ˈsætaɪə/,"명 uncountable (mocking irony) 풍자, 비꼼 
명 (ironic comedy) 풍자 코메디 "
guises,,"명 (appearance) 외관, 겉모양 
명 n (pretence) 가장, 변장 "
tenor,/ˈtɛnə/,"명 (male singing voice) (성악) 테너 목소리 
명 (man who sings tenor) (성악가) 테너 
형 (instrument: in tenor range) 테너 톤의 
명 (gist, sense) 취지, 대의 "
zoologist,/zəʊˈɒlədʒɪst/,"명 (animal biologist) 동물학자 "
cite,/saɪt/,"동(타) (refer to) 언급하다 
동(타) (quote) 인용하다 
동(타)  생각해 내다 
동(타) (military: mention honourably) (군사) 표창하다 
동(타)  법정에 소환하다 "
bibliography,/ˌbɪblɪˈɒɡrəfɪ/,"명 (cited in a text) 참고문헌, 도서 
명 (on a subject) 문헌목록 "
parenthese,,
hereditary,/hɪˈrɛdɪtərɪ/,"형 (biology: genetic) (생물학) 유전적인, 유전성의 
형 (title, etc.: inherited) (직위 등) 세습의, 상속하는 "
